country,year,month,month_year,best
South Sudan,2020,11,202011,11
South Sudan,2020,12,202012,2
South Sudan,2021,2,202102,8
South Sudan,2021,3,202103,72
South Sudan,2021,4,202104,8
South Sudan,2021,5,202105,232
South Sudan,2021,6,202106,220
South Sudan,2021,7,202107,43
South Sudan,2021,8,202108,84
South Sudan,2021,9,202109,82
South Sudan,2021,10,202110,64
South Sudan,2021,12,202112,78
South Sudan,2022,1,202201,36
South Sudan,2022,2,202202,22
South Sudan,2022,3,202203,45
South Sudan,2022,4,202204,61
South Sudan,2022,5,202205,12
South Sudan,2022,6,202206,1
South Sudan,2022,7,202207,274
South Sudan,2022,8,202208,127
South Sudan,2022,9,202209,50
South Sudan,2022,10,202210,20
South Sudan,2022,12,202212,80
South Sudan,2023,1,202301,55
South Sudan,2023,2,202302,160
South Sudan,2023,6,202306,8
South Sudan,2023,7,202307,0
South Sudan,2023,9,202309,1
South Sudan,2024,1,202401,122
South Sudan,2024,2,202402,363
South Sudan,2024,3,202403,24
South Sudan,2024,4,202404,30
South Sudan,2024,5,202405,4
South Sudan,2024,7,202407,114
South Sudan,2024,8,202408,4
South Sudan,2024,12,202412,36
Sudan,2018,1,201801,12
Sudan,2018,2,201802,74
Sudan,2018,3,201803,50
Sudan,2018,4,201804,24
Sudan,2018,5,201805,60
Sudan,2018,6,201806,34
Sudan,2018,7,201807,42
Sudan,2018,8,201808,3
Sudan,2018,9,201809,50
Sudan,2018,10,201810,9
Sudan,2018,11,201811,51
Sudan,2018,12,201812,23
Sudan,2019,1,201901,64
Sudan,2019,2,201902,14
Sudan,2019,3,201903,11
Sudan,2019,4,201904,23
Sudan,2019,5,201905,12
Sudan,2019,6,201906,115
Sudan,2019,7,201907,8
Sudan,2019,8,201908,66
Sudan,2019,9,201909,5
Sudan,2019,10,201910,2
Sudan,2019,11,201911,16
Sudan,2019,12,201912,99
Sudan,2020,1,202001,88
Sudan,2020,2,202002,1
Sudan,2020,3,202003,15
Sudan,2020,4,202004,11
Sudan,2020,5,202005,183
Sudan,2020,6,202006,47
Sudan,2020,7,202007,170
Sudan,2020,8,202008,41
Sudan,2020,9,202009,9
Sudan,2020,10,202010,20
Sudan,2020,11,202011,3
Sudan,2020,12,202012,39
Sudan,2021,1,202101,269
Sudan,2021,2,202102,2
Sudan,2021,3,202103,15
Sudan,2021,4,202104,147
Sudan,2021,5,202105,24
Sudan,2021,6,202106,90
Sudan,2021,7,202107,23
Sudan,2021,8,202108,20
Sudan,2021,9,202109,3
Sudan,2021,10,202110,17
Sudan,2021,11,202111,90
Sudan,2021,12,202112,162
Sudan,2022,1,202201,45
Sudan,2022,2,202202,41
Sudan,2022,3,202203,195
Sudan,2022,4,202204,251
Sudan,2022,5,202205,20
Sudan,2022,6,202206,207
Sudan,2022,7,202207,127
Sudan,2022,8,202208,21
Sudan,2022,9,202209,85
Sudan,2022,10,202210,296
Sudan,2022,11,202211,81
Sudan,2022,12,202212,38
Sudan,2023,2,202302,29
Sudan,2023,4,202304,1146
Sudan,2023,5,202305,1225
Sudan,2023,6,202306,619
Sudan,2023,7,202307,554
Sudan,2023,8,202308,682
Sudan,2023,9,202309,471
Sudan,2023,10,202310,595
Sudan,2023,11,202311,2102
Sudan,2023,12,202312,414
Sudan,2024,1,202401,347
Sudan,2024,2,202402,382
Sudan,2024,3,202403,224
Sudan,2024,4,202404,348
Sudan,2024,5,202405,482
Sudan,2024,6,202406,781
Sudan,2024,7,202407,507
Sudan,2024,8,202408,485
Sudan,2024,9,202409,620
Sudan,2024,10,202410,1332
Sudan,2024,11,202411,734
Sudan,2024,12,202412,861
Syria,2018,1,201801,3166
Syria,2018,2,201802,3279
Syria,2018,3,201803,3904
Syria,2018,4,201804,1621
Syria,2018,5,201805,1156
Syria,2018,6,201806,1650
Syria,2018,7,201807,1632
Syria,2018,8,201808,643
Syria,2018,9,201809,921
Syria,2018,10,201810,1068
Syria,2018,11,201811,1228
